sentence,emotion
Over my dead body are you arresting him.,Anger
"Brian, as ever, decided not to sit on the fence.",Disgust
"So, you know, whilst I'm a little bit reluctant, in a way I think that's water under the bridge, and in my view actually the extension improves it all.",Sadness
"Doctors who tried to help the wounded were caught in the crossfire, and in some places ambulances also came under attack.",Sadness
"Well, what about the view, let me kind of play devil's advocate here against Freud and Bullett.",Anticipation
"They were always at it, hammer and tongs you know, they had what would be called something similar to a steam hammer..",Anger
Rugby league's deadliest rivals lock horns in the season's big curtain-raiser at Gateshead tomorrow.,Anticipation
"For a brother and sister act, there was certainly no love lost between them.",Surprise
"Then, in 1981, all hell broke loose in the Cambridge English Faculty.",Sadness
I've got a bone to pick with one club.,Anger
For God's sake bury the hatchet.,Disgust
I really should er phone Breezy up and call his bluff and find out,Anticipation
Do me a favour and get off my back.,Disgust
"It was only a suggestion, Robyn; there's no need to blow a fuse.",Anger
"If you blow your top, they'll nick you double quick.",Anticipation
"Dear Father Christmas, I have a bone to pick with you.",Anger
"You sound cheesed off, what's the matter?",Anger
For crying out loud.,Anger
"I read the paper and I saw a glow worm in it, so I cut it out and gave it to him and he stuck it up in the factory.",Surprise
"He was fit to be tied when I separated from Hugh, and he seems to blame me for the whole thing.",Sadness
"Don't fly off the handle, Ma.",Anger
I suppose you're planning to make me foam at the mouth and gabble in obsolete tongues.,Disgust
It would get on my nerves.,Anger
Oh will you give it a rest.,Anger
"Just as he will not tolerate questions about his private life, so he will also go ballistic if bureacrats attempt to meddle in his creative decisions.",Anger
Now don't go off the deep end.,Anticipation
Some got extremely hot under the collar about it.,Anger
It is not particularly to make a song and dance about it.,Disgust
"Both sides, as so often in such debates, generated more heat than light.",Anger
It's steamed up between the layers is that what you're looking at.,Anger
"Because I like you, Breeze, and it makes my blood boil to think of you slaving away as you do.",Anger
Well you'll take the biscuit out of the Wednesday thing won't you?,Anger
Surrealism was definitely the last straw.,Disgust
I know you are too stupid to understand this but I will talk slowly and loudly and hope that you won't try my patience too far.,Anger
Yanto waited for a reply to his offer with bated breath.,Anticipation
"The slightest skirl of the pipes makes the retired cleaner go weak at the knees, break out in a cold sweat and shake uncontrollably.",Anticipation
"The line was plucking nicely through my fingers and, with my heart in my mouth, I wound the pick up in and struck.",Anticipation
"It was just really terrible, I mean at first I was just scared stiff that I  couldn't enjoy the dance on Sunday.",Fear
Tongue tied.,Surprise
I'm at my wits end.,Anger
"Ants in your pants, darling?",Surprise
Cause a stir if nothing else wouldn't it?,Disgust
He had me on the edge of my seat a couple of times.,Anticipation
"A bit further, give us a smile, lick your lips, Gilly.",Joy
"To begin with I found it almost too much to take on board, but it was all extremely thought-provoking and I had to make a decision to put my heart into it or not to bother at all.",Fear
So I can't go away in the autumn now cos that's just when everybody starts raring to go and wanting to get started on next year's programme.,Sadness
"But I was, I was bored to tears.",Sadness
I didn't know I could have such a good time so close to home.,Surprise
"Lexandro felt cut to the quick, and wished he could kill this impertinent if perceptive Sergeant.",Disgust
