sentence,emotion
"Well, what about the view, let me kind of play devil's advocate here against Freud and Bullett.",Anticipation
Rugby league's deadliest rivals lock horns in the season's big curtain-raiser at Gateshead tomorrow.,Anticipation
"For a brother and sister act, there was certainly no love lost between them.",Surprise
I really should er phone Breezy up and call his bluff and find out,Anticipation
"If you blow your top, they'll nick you double quick.",Anticipation
"I read the paper and I saw a glow worm in it, so I cut it out and gave it to him and he stuck it up in the factory.",Surprise
Now don't go off the deep end.,Anticipation
Yanto waited for a reply to his offer with bated breath.,Anticipation
"The slightest skirl of the pipes makes the retired cleaner go weak at the knees, break out in a cold sweat and shake uncontrollably.",Anticipation
"The line was plucking nicely through my fingers and, with my heart in my mouth, I wound the pick up in and struck.",Anticipation
Tongue tied.,Surprise
"Ants in your pants, darling?",Surprise
He had me on the edge of my seat a couple of times.,Anticipation
"A bit further, give us a smile, lick your lips, Gilly.",Joy
I didn't know I could have such a good time so close to home.,Surprise
"Both of them were breathing hard, such a hurry and scramble of lips, hands, such a heat inside and between them, he stuffed one small breast into his mouth and then the other, giving her the same churn of astonished guilty pleasure as when she lay on her bed in the afternoons and read the forbidden books she smuggled home from the library.",Anticipation
"To fight for King and Country; to keep a stiff upper lip and a devil-may-care sangfroid, no matter if he were scared shitless.",Joy
"I was, as a newly arrived curate, somewhat taken aback and went home to lick my wounds.",Surprise
"Yeah, pleased as punch.",Joy
"Mind you, when I was skivvying for that Brixton fam'ly, the head of the fam'ly didn't' alf take a fancy to me.",Surprise
Feast your eyes on this little dazzler a gem in a million.,Joy
"Because you know they came up, they were full of the joys of spring, looking around, chatting to their friends.",Joy
"Both of them were breathing hard, such a hurry and scramble of lips, hands, such a heat inside and between them, he stuffed one small breast into his mouth and then the other, giving her the same churn of astonished guilty pleasure as when she lay on her bed in the afternoons and read the forbidden books she smuggled home from the library.",Joy
Ooh well they used to well they didn't used to sing a lot of songs but er they used to do a lot of you know playing about and perhaps and then they'd perhaps have a ball.,Joy
But you can be sure that you'll have the time of your life.,Anticipation
And mummy will have a whale of a time.,Joy
No. He was only pulling your leg.,Surprise
"After that, the world is your oyster, as they say.",Joy
"For the past five days now she had been living somewhere on cloud nine, and had decided that she might just as well set up home there, as it was such a wonderful place to be.",Joy
"That erm, made me laugh because he said to his secretary, erm, you know, I I honestly don't think your time is she is so down in the mouth.",Joy
"To pretend as the sister said, that because she and another sister share lesbian sexuality, that that is the only thing, I think is living in a fools paradise.",Joy
Mr Crangle was grinning from ear to ear.,Joy
"They're going to have to come out of the forests,' he replied, with a grin like a Cheshire cat.",Joy
"Female speaker I jump for joy... but until I hear from the Foreign Office or from Martin, I won't believe it.",Joy
I suppose that comments like that are music to your ears?,Joy
"She was not quite sure what all of them were laughing about but there they were, rolling about with mirth, and Herbert Fraser looking as pleased as Punch.",Joy
